course_code,course_name,institution_code,institution_name,campus,study_mode,duration_years,atar_cutoff,csp_available,active_flag
QUT-BS001,Bachelor of Science,QUT,Queensland University of Technology,Gardens Point,Full-time,3,70.00,Y,1
UQ-ENG01,Bachelor of Engineering (Honours),UQ,The University of Queensland,St Lucia,Full-time,4,89.50,Y,1
GU-NURS1,Bachelor of Nursing,GU,Griffith University,Gold Coast,Full-time,3,72.00,Y,1
USQ-IT001,Bachelor of Information Technology,USQ,University of Southern Queensland,Toowoomba,Full-time,3,60.00,Y,1
QUT-BU001,Bachelor of Business,QUT,Queensland University of Technology,Gardens Point,Full-time,3,75.00,Y,1
UQ-ARTS1,Bachelor of Arts,UQ,The University of Queensland,St Lucia,Full-time,3,71.00,Y,1
JCU-MED1,Bachelor of Medicine,JCU,James Cook University,Townsville,Full-time,6,99.00,Y,1
GU-EDU01,Bachelor of Education (Primary),GU,Griffith University,Mt Gravatt,Full-time,4,74.00,Y,1
SCU-LAW1,Bachelor of Laws,SCU,Southern Cross University,Gold Coast,Full-time,4,,Y,1
QUT-DS001,Bachelor of Data Science,QUT,Queensland University of Technology,Gardens Point,full-time,3,82.00,Y,1
UQ-COMP1,Bachelor of Computer Science,UQ,The University of Queensland,St Lucia,Full-time,3,84.00,Y,1
GU-PSYC1,Bachelor of Psychological Science,GU,Griffith University,Mt Gravatt,Full-time,3,75.50,Y,1
CQU-ENG1,Bachelor of Engineering,CQU,CQUniversity,Rockhampton,Full-time,4,65.00,Y,0
USQ-AGR01,Bachelor of Agriculture,USQ,University of Southern Queensland,Toowoomba,Part-time,4,55.00,N,1
